fp16_bits,fp16_value,ref_bf16_bits,ref_bf16_value,mpfr_bf16_bits,mpfr_bf16_value,ref_gelu_f64,mpfr_gelu_f64
0xC848,-8.5625,0x8000,-0.0,0xA45A,-4.7271214720367993e-17,-0.0,-4.7284711475484744e-17
0xC849,-8.5703125,0x8000,-0.0,0xA44C,-4.423544863740858e-17,-0.0,-4.422478079248862e-17
0xC84A,-8.578125,0x8000,-0.0,0xA43F,-4.141652298894627e-17,-0.0,-4.1360340050220724e-17
0xC84B,-8.5859375,0x8000,-0.0,0xA432,-3.859759734048396e-17,-0.0,-3.867906603368065e-17
0xC84C,-8.59375,0x8000,-0.0,0xA427,-3.621235256101585e-17,-0.0,-3.61694015702183e-17
0xC84D,-8.6015625,0x8000,-0.0,0xA41C,-3.382710778154774e-17,-0.0,-3.382050860206791e-17
0xC84E,-8.609375,0x8000,-0.0,0xA412,-3.165870343657673e-17,-0.0,-3.162222408983871e-17
0xC84F,-8.6171875,0x8000,-0.0,0xA408,-2.949029909160572e-17,-0.0,-2.956501857891867e-17
0xC850,-8.625,0x8000,-0.0,0xA3FF,-2.7647155398380363e-17,-0.0,-2.7639957270554052e-17
0xC851,-8.6328125,0x8000,-0.0,0xA3EE,-2.5804011705155006e-17,-0.0,-2.5838663448611536e-17
0xC852,-8.640625,0x8000,-0.0,0xA3DF,-2.417770844642675e-17,-0.0,-2.4153284121743773e-17
0xC853,-8.6484375,0x8000,-0.0,0xA3D0,-2.2551405187698492e-17,-0.0,-2.2576457748892273e-17
0xC854,-8.65625,0x8000,-0.0,0xA3C3,-2.1141942363467336e-17,-0.0,-2.1101283923802624e-17
0xC855,-8.6640625,0x8000,-0.0,0xA3B6,-1.973247953923618e-17,-0.0,-1.9721294901522276e-17
0xC856,-8.671875,0x8000,-0.0,0xA3AA,-1.8431436932253575e-17,-0.0,-1.84304288567258e-17
0xC857,-8.6796875,0x8000,-0.0,0xA39F,-1.723881454251952e-17,-0.0,-1.72230047701907e-17
0xC858,-8.6875,0x8000,-0.0,0xA394,-1.6046192152785466e-17,-0.0,-1.609369884585046e-17
0xC859,-8.6953125,0x8000,-0.0,0xA38B,-1.5070410197548512e-17,-0.0,-1.503752236660236e-17
0xC85A,-8.703125,0x8000,-0.0,0xA382,-1.4094628242311558e-17,-0.0,-1.404980090246525e-17
0xC85B,-8.7109375,0x8000,-0.0,0xA372,-1.3118846287074604e-17,-0.0,-1.3126154789786128e-17
0xC85C,-8.71875,0x8000,-0.0,0xA362,-1.22514845490862e-17,-0.0,-1.226248080500181e-17
0xC85D,-8.7265625,0x8000,-0.0,0xA353,-1.1438332919722072e-17,-0.0,-1.1454934960990055e-17
0xC85E,-8.734375,0x8000,-0.0,0xA345,-1.0679391398982219e-17,-0.0,-1.0699916358309243e-17
0xC85F,-8.7421875,0x8000,-0.0,0xA338,-9.974659986866641e-18,-0.0,-9.994052027642024e-18
0xC860,-8.75,0x8000,-0.0,0xA32C,-9.324138683375338e-18,-0.0,-9.3341827035405e-18
0xC861,-8.7578125,0x8000,-0.0,0xA321,-8.72782748850831e-18,-0.0,-8.717349473131988e-18
0xC862,-8.765625,0x8000,-0.0,0xA316,-8.131516293641283e-18,-0.0,-8.140781246797614e-18
0xC863,-8.7734375,0x8000,-0.0,0xA30C,-7.589415207398531e-18,-0.0,-7.601883000993228e-18
0xC864,-8.78125,0x8000,-0.0,0xA303,-7.101524229780054e-18,-0.0,-7.098224746354291e-18
0xC865,-8.7890625,0x8000,-0.0,0xA2F5,-6.640738306473715e-18,-0.0,-6.627531177024352e-18
0xC866,-8.796875,0x8000,-0.0,0xA2E4,-6.179952383167375e-18,-0.0,-6.187671959780513e-18
0xC867,-8.8046875,0x8000,-0.0,0xA2D5,-5.773376568485311e-18,-0.0,-5.776652624008182e-18
0xC868,-8.8125,0x8000,-0.0,0xA2C7,-5.3939058081153846e-18,-0.0,-5.392606015910563e-18
0xC869,-8.8203125,0x8000,-0.0,0xA2BA,-5.041540102057596e-18,-0.0,-5.03378428253405e-18
0xC86A,-8.828125,0x8000,-0.0,0xA2AD,-4.689174395999807e-18,-0.0,-4.6985513532569345e-18
0xC86B,-8.8359375,0x8000,-0.0,0xA2A2,-4.391018798566293e-18,-0.0,-4.385375888333115e-18
0xC86C,-8.84375,0x8000,-0.0,0xA297,-4.092863201132779e-18,-0.0,-4.092824665911918e-18
0xC86D,-8.8515625,0x8000,-0.0,0xA28D,-3.821812658011403e-18,-0.0,-3.819556380676281e-18
0xC86E,-8.859375,0x8000,-0.0,0xA284,-3.577867169202165e-18,-0.0,-3.564315828860793e-18
0xC86F,-8.8671875,0x8000,-0.0,0xA275,-3.3203691532368573e-18,-0.0,-3.32592845593433e-18
0xC870,-8.875,0x8000,-0.0,0xA265,-3.1035287187397564e-18,-0.0,-3.103295244664837e-18
0xC871,-8.8828125,0x8000,-0.0,0xA256,-2.9002408113987244e-18,-0.0,-2.895387922631477e-18
0xC872,-8.890625,0x8000,-0.0,0xA247,-2.6969529040576923e-18,-0.0,-2.7012444695169014e-18
0xC873,-8.8984375,0x8000,-0.0,0xA23A,-2.520770051028798e-18,-0.0,-2.519964905704411e-18
0xC874,-8.90625,0x8000,-0.0,0xA22D,-2.3445871979999033e-18,-0.0,-2.3507073448257474e-18
0xC875,-8.9140625,0x8000,-0.0,0xA222,-2.1955093992831465e-18,-0.0,-2.1926842939593162e-18
0xC876,-8.921875,0x8000,-0.0,0xA217,-2.0464316005663896e-18,-0.0,-2.045159186169725e-18
0xC877,-8.9296875,0x8000,-0.0,0xA20D,-1.9109063290057016e-18,-0.0,-1.9074431310113288e-18
0xC878,-8.9375,0x8000,-0.0,0xA203,-1.7753810574450135e-18,-0.0,-1.7788918694944756e-18
0xC879,-8.9453125,0x8000,-0.0,0xA1F5,-1.6601845766184287e-18,-0.0,-1.6589029208366478e-18
0xC87A,-8.953125,0x8000,-0.0,0xA1E4,-1.5449880957918438e-18,-0.0,-1.546912909094772e-18
0xC87B,-8.9609375,0x8000,-0.0,0xA1D5,-1.4433441421213278e-18,-0.0,-1.442395058502546e-18
0xC87C,-8.96875,0x8000,-0.0,0xA1C6,-1.3417001884508117e-18,-0.0,-1.3448568470204495e-18
0xC87D,-8.9765625,0x8000,-0.0,0xA1B9,-1.2536087619363645e-18,-0.0,-1.2538378082487548e-18
0xC87E,-8.984375,0x8000,-0.0,0xA1AD,-1.1722935989999517e-18,-0.0,-1.1689074724577756e-18
0xC87F,-8.9921875,0x8000,-0.0,0xA1A1,-1.0909784360635388e-18,-0.0,-1.089663438057062e-18
0xC880,-9.0,0x8000,-0.0,0xA196,-1.0164395367051604e-18,-0.0,-1.0157295653584566e-18
0xC881,-9.0078125,0x8000,-0.0,0xA18C,-9.486769009248164e-19,-0.0,-9.467542849888913e-19
0xC882,-9.015625,0x8000,-0.0,0xA182,-8.809142651444724e-19,-0.0,-8.824090137794335e-19
0xC883,-9.0234375,0x8000,-0.0,0xA173,-8.233160247311799e-19,-0.0,-8.223866713992155e-19
